# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Sat Mar 19 14:45:28 CET 2016
# isochrones PARSEC release v1.2S + COLIBRI release PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Rosenfield et al. (2016, arXiv:1603.05283)
# Photometric system: HST/WFC3 UVIS channel, chip 2 (final throughputs)
# Attention: photometry includes extinction of Av=0.124
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00400	Y = 0.25600	[M/H] = -0.583	eta_R = 0.200	Age = 	1.1000e+01 yr
#	Includes interstellar extinction of Av = 0.1240 mag
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    F200LP2 F218W2  F225W2  F275W2  F336W2  F350LP2 F390W2  F438W2  F475W2  F555W2  F600LP2 F606W2  F625W2  F775W2  F814W2  F850LP2	C/O	M_hec	period	pmode	logMdot	slope	int_IMF	stage
	0.004000	1.0414	1.1499999762	1.1500	2.7211	3.5980	1.1216	-2.033	-1.109	6.771	6.948	6.667	2.457	-1.317	1.415	0.673	-0.161	-0.826	-2.225	-1.342	-1.629	-2.365	-2.489	-2.828	0.4787	0.0000	10.1	1	-14.005	0.000	3.1761763096	0
	0.004000	1.0414	1.2000000477	1.2000	2.7522	3.5984	1.1105	-2.110	-1.190	6.689	6.869	6.585	2.372	-1.397	1.332	0.590	-0.245	-0.909	-2.305	-1.424	-1.710	-2.444	-2.568	-2.907	0.4787	0.0000	10.4	1	-14.189	0.000	3.1858570576	0
	0.004000	1.0414	1.2500000000	1.2500	2.7838	3.5986	1.0974	-2.189	-1.270	6.609	6.789	6.508	2.294	-1.478	1.253	0.510	-0.326	-0.990	-2.385	-1.505	-1.791	-2.524	-2.648	-2.986	0.4787	0.0000	10.7	1	-14.316	0.000	3.1947042942	0
	0.004000	1.0414	1.2999999523	1.3000	2.8240	3.5980	1.0721	-2.290	-1.366	6.521	6.695	6.433	2.224	-1.574	1.171	0.424	-0.416	-1.082	-2.483	-1.599	-1.886	-2.622	-2.747	-3.086	0.4787	0.0000	11.3	1	-14.405	0.000	3.2028071880	0
	0.004000	1.0414	1.3500000238	1.3500	2.8546	3.5981	1.0580	-2.367	-1.443	6.446	6.619	6.362	2.153	-1.651	1.097	0.349	-0.493	-1.160	-2.560	-1.677	-1.964	-2.699	-2.824	-3.163	0.4787	0.0000	11.7	1	-14.471	0.000	3.2102327347	0
	0.004000	1.0414	1.3999999762	1.4000	2.8776	3.5986	1.0530	-2.424	-1.505	6.380	6.558	6.295	2.081	-1.712	1.030	0.282	-0.559	-1.225	-2.620	-1.740	-2.027	-2.759	-2.883	-3.221	0.4787	0.0000	12.0	1	-14.524	0.000	3.2170591354	0
	0.004000	1.0414	1.4500000477	1.4500	2.9077	3.5984	1.0374	-2.499	-1.578	6.310	6.485	6.232	2.020	-1.786	0.963	0.213	-0.631	-1.297	-2.695	-1.814	-2.100	-2.834	-2.958	-3.296	0.4787	0.0000	12.4	1	-14.567	0.000	3.2233536243	0
	0.004000	1.0414	1.5000000000	1.5000	2.9355	3.5984	1.0244	-2.569	-1.648	6.243	6.417	6.169	1.957	-1.855	0.897	0.146	-0.699	-1.366	-2.764	-1.883	-2.169	-2.903	-3.027	-3.365	0.4787	0.0000	12.8	1	-14.604	0.000	3.2291738987	0
	0.004000	1.0414	1.5499999523	1.5500	2.9620	3.5984	1.0120	-2.635	-1.714	6.179	6.351	6.109	1.897	-1.922	0.834	0.082	-0.765	-1.432	-2.831	-1.949	-2.236	-2.970	-3.094	-3.432	0.4787	0.0000	12.8	1	-14.638	0.000	3.2345697880	0
	0.004000	1.0414	1.6000000238	1.6000	2.9831	3.5988	1.0062	-2.688	-1.770	6.121	6.297	6.051	1.836	-1.977	0.775	0.023	-0.824	-1.490	-2.885	-2.006	-2.292	-3.024	-3.148	-3.485	0.4787	0.0000	13.0	1	-14.670	0.000	3.2395837307	0
